Percent Bachelors,County,State,Year
13.1,Ouachita Parish,Louisiana,2012
12.6,Rapides Parish,Louisiana,2012
9.5,St. Landry Parish,Louisiana,2012
20.4,St. Tammany Parish,Louisiana,2012
9.6,Tangipahoa Parish,Louisiana,2012
8.8,Terrebonne Parish,Louisiana,2012
10.8,Androscoggin County,Maine,2012
11.9,Aroostook County,Maine,2012
27.1,Cumberland County,Maine,2012
12.0,Kennebec County,Maine,2012
13.2,Penobscot County,Maine,2012
20.2,York County,Maine,2012
7.9,Allegany County,Maryland,2012
22.9,Anne Arundel County,Maryland,2012
20.2,Baltimore County,Maryland,2012
17.5,Calvert County,Maryland,2012
22.1,Carroll County,Maryland,2012
12.5,Cecil County,Maryland,2012
16.0,Charles County,Maryland,2012
22.9,Frederick County,Maryland,2012
21.6,Harford County,Maryland,2012
30.9,Howard County,Maryland,2012
25.5,Montgomery County,Maryland,2012
16.4,Prince George's County,Maryland,2012
18.9,St. Mary's County,Maryland,2012
10.2,Washington County,Maryland,2012
14.4,Wicomico County,Maryland,2012
13.6,Baltimore city,Maryland,2012
23.1,Barnstable County,Massachusetts,2012
17.9,Berkshire County,Massachusetts,2012
17.1,Bristol County,Massachusetts,2012
22.3,Essex County,Massachusetts,2012
17.8,Franklin County,Massachusetts,2012
15.1,Hampden County,Massachusetts,2012
19.6,Hampshire County,Massachusetts,2012
26.5,Middlesex County,Massachusetts,2012
26.8,Norfolk County,Massachusetts,2012
21.7,Plymouth County,Massachusetts,2012
23.0,Suffolk County,Massachusetts,2012
20.2,Worcester County,Massachusetts,2012
12.6,Allegan County,Michigan,2012
9.4,Bay County,Michigan,2012
15.8,Berrien County,Michigan,2012
14.3,Calhoun County,Michigan,2012
17.0,Clinton County,Michigan,2012
14.7,Eaton County,Michigan,2012
12.6,Genesee County,Michigan,2012
15.9,Grand Traverse County,Michigan,2012
20.8,Ingham County,Michigan,2012
15.3,Isabella County,Michigan,2012
13.8,Jackson County,Michigan,2012
21.6,Kalamazoo County,Michigan,2012
20.8,Kent County,Michigan,2012
9.6,Lapeer County,Michigan,2012
13.1,Lenawee County,Michigan,2012
24.6,Livingston County,Michigan,2012
15.0,Macomb County,Michigan,2012
17.8,Marquette County,Michigan,2012
17.5,Midland County,Michigan,2012
12.0,Monroe County,Michigan,2012
12.8,Muskegon County,Michigan,2012
25.4,Oakland County,Michigan,2012
19.1,Ottawa County,Michigan,2012
11.5,Saginaw County,Michigan,2012
9.6,St. Clair County,Michigan,2012
8.7,Shiawassee County,Michigan,2012
11.7,Van Buren County,Michigan,2012
22.3,Washtenaw County,Michigan,2012
13.1,Wayne County,Michigan,2012
19.2,Anoka County,Minnesota,2012
21.0,Blue Earth County,Minnesota,2012
29.2,Carver County,Minnesota,2012
28.2,Dakota County,Minnesota,2012
30.6,Hennepin County,Minnesota,2012
22.8,Olmsted County,Minnesota,2012
24.3,Ramsey County,Minnesota,2012
17.6,St. Louis County,Minnesota,2012
29.3,Scott County,Minnesota,2012
14.3,Sherburne County,Minnesota,2012
14.9,Stearns County,Minnesota,2012
27.9,Washington County,Minnesota,2012
21.2,Wright County,Minnesota,2012
11.8,DeSoto County,Mississippi,2012
16.4,Forrest County,Mississippi,2012
11.3,Harrison County,Mississippi,2012
14.4,Hinds County,Mississippi,2012
13.0,Jackson County,Mississippi,2012
9.4,Jones County,Mississippi,2012
13.7,Lauderdale County,Mississippi,2012
15.4,Lee County,Mississippi,2012
28.2,Madison County,Mississippi,2012
18.3,Rankin County,Mississippi,2012
28.6,Boone County,Missouri,2012
11.2,Buchanan County,Missouri,2012
20.6,Cape Girardeau County,Missouri,2012
13.0,Cass County,Missouri,2012
15.6,Christian County,Missouri,2012
21.8,Clay County,Missouri,2012
18.1,Cole County,Missouri,2012
8.8,Franklin County,Missouri,2012
19.8,Greene County,Missouri,2012
17.2,Jackson County,Missouri,2012
11.2,Jasper County,Missouri,2012
12.3,Jefferson County,Missouri,2012
24.0,Platte County,Missouri,2012
23.3,St. Charles County,Missouri,2012
10.5,St. Francois County,Missouri,2012
24.5,St. Louis County,Missouri,2012
17.9,St. Louis city,Missouri,2012
14.3,Cascade County,Montana,2012
19.9,Flathead County,Montana,2012
29.0,Gallatin County,Montana,2012
23.3,Missoula County,Montana,2012
18.6,Yellowstone County,Montana,2012
24.6,Douglas County,Nebraska,2012
20.6,Lancaster County,Nebraska,2012
23.4,Sarpy County,Nebraska,2012
14.7,Clark County,Nevada,2012
17.9,Washoe County,Nevada,2012
17.0,Cheshire County,New Hampshire,2012
17.5,Grafton County,New Hampshire,2012
24.3,Hillsborough County,New Hampshire,2012
21.5,Merrimack County,New Hampshire,2012
18.0,Cuyahoga County,Ohio,2012
32.2,Delaware County,Ohio,2012
14.4,Erie County,Ohio,2012
17.9,Fairfield County,Ohio,2012
24.5,Franklin County,Ohio,2012
21.1,Geauga County,Ohio,2012
20.4,Greene County,Ohio,2012
21.1,Hamilton County,Ohio,2012
18.7,Hancock County,Ohio,2012
12.9,Jefferson County,Ohio,2012
18.1,Lake County,Ohio,2012
12.9,Licking County,Ohio,2012
15.2,Lorain County,Ohio,2012
13.7,Lucas County,Ohio,2012
14.2,Mahoning County,Ohio,2012
5.3,Marion County,Ohio,2012
21.2,Medina County,Ohio,2012
15.6,Miami County,Ohio,2012
15.6,Montgomery County,Ohio,2012
8.6,Muskingum County,Ohio,2012
15.9,Portage County,Ohio,2012
9.8,Richland County,Ohio,2012
7.6,Ross County,Ohio,2012
10.8,Scioto County,Ohio,2012
14.9,Stark County,Ohio,2012
19.7,Summit County,Ohio,2012
11.1,Trumbull County,Ohio,2012
9.5,Tuscarawas County,Ohio,2012
22.1,Warren County,Ohio,2012
13.8,Wayne County,Ohio,2012
16.0,Wood County,Ohio,2012
18.3,Canadian County,Oklahoma,2012
19.8,Cleveland County,Oklahoma,2012
12.4,Comanche County,Oklahoma,2012
11.9,Creek County,Oklahoma,2012
13.8,Muskogee County,Oklahoma,2012
18.9,Oklahoma County,Oklahoma,2012
19.3,Payne County,Oklahoma,2012
10.6,Pottawatomie County,Oklahoma,2012
18.2,Rogers County,Oklahoma,2012
20.2,Tulsa County,Oklahoma,2012
14.4,Wagoner County,Oklahoma,2012
31.1,Benton County,Oregon,2012
20.9,Clackamas County,Oregon,2012
22.6,Deschutes County,Oregon,2012
9.6,Douglas County,Oregon,2012
14.3,Jackson County,Oregon,2012
10.6,Josephine County,Oregon,2012
10.7,Klamath County,Oregon,2012
16.8,Lane County,Oregon,2012
10.4,Linn County,Oregon,2012
15.9,Marion County,Oregon,2012
23.1,Multnomah County,Oregon,2012
20.0,Polk County,Oregon,2012
5.4,Umatilla County,Oregon,2012
25.2,Washington County,Oregon,2012
17.2,Yamhill County,Oregon,2012
12.0,Adams County,Pennsylvania,2012
23.5,Allegheny County,Pennsylvania,2012
11.8,Armstrong County,Pennsylvania,2012
15.0,Beaver County,Pennsylvania,2012
15.3,Berks County,Pennsylvania,2012
11.1,Blair County,Pennsylvania,2012
23.5,Bucks County,Pennsylvania,2012
20.6,Butler County,Pennsylvania,2012
12.5,Cambria County,Pennsylvania,2012
10.1,Carbon County,Pennsylvania,2012
19.6,Centre County,Pennsylvania,2012
30.2,Chester County,Pennsylvania,2012
7.4,Clearfield County,Pennsylvania,2012
13.5,Columbia County,Pennsylvania,2012
10.8,Crawford County,Pennsylvania,2012
19.8,Cumberland County,Pennsylvania,2012
17.7,Dauphin County,Pennsylvania,2012
21.0,Delaware County,Pennsylvania,2012
16.8,Erie County,Pennsylvania,2012
8.5,Fayette County,Pennsylvania,2012
12.1,Franklin County,Pennsylvania,2012
11.4,Indiana County,Pennsylvania,2012
16.8,Lackawanna County,Pennsylvania,2012
17.0,Lancaster County,Pennsylvania,2012
15.0,Lawrence County,Pennsylvania,2012
12.7,Lebanon County,Pennsylvania,2012
18.4,Lehigh County,Pennsylvania,2012
13.7,Luzerne County,Pennsylvania,2012
13.0,Lycoming County,Pennsylvania,2012
13.1,Mercer County,Pennsylvania,2012
13.6,Monroe County,Pennsylvania,2012
26.7,Montgomery County,Pennsylvania,2012
15.6,Northampton County,Pennsylvania,2012
9.9,Northumberland County,Pennsylvania,2012
14.3,Philadelphia County,Pennsylvania,2012
7.9,Schuylkill County,Pennsylvania,2012
8.7,Somerset County,Pennsylvania,2012
18.6,Washington County,Pennsylvania,2012
17.5,Westmoreland County,Pennsylvania,2012
13.4,York County,Pennsylvania,2012
21.0,Kent County,Rhode Island,2012
25.3,Newport County,Rhode Island,2012
16.2,Providence County,Rhode Island,2012
25.2,Washington County,Rhode Island,2012
14.8,Aiken County,South Carolina,2012
13.5,Anderson County,South Carolina,2012
22.6,Beaufort County,South Carolina,2012
14.0,Berkeley County,South Carolina,2012
25.3,Charleston County,South Carolina,2012
12.4,Darlington County,South Carolina,2012
16.2,Dorchester County,South Carolina,2012
13.5,Florence County,South Carolina,2012
22.3,Greenville County,South Carolina,2012
18.6,Greenwood County,South Carolina,2012
14.6,Horry County,South Carolina,2012
14.9,Lancaster County,South Carolina,2012
8.3,Laurens County,South Carolina,2012
18.4,Lexington County,South Carolina,2012
13.8,Oconee County,South Carolina,2012
8.5,Orangeburg County,South Carolina,2012
12.0,Pickens County,South Carolina,2012
23.7,Richland County,South Carolina,2012
13.8,Spartanburg County,South Carolina,2012
10.4,Sumter County,South Carolina,2012
19.6,York County,South Carolina,2012
18.0,Minnehaha County,South Dakota,2012
14.7,Pennington County,South Dakota,2012
12.9,Anderson County,Tennessee,2012
14.8,Blount County,Tennessee,2012
11.8,Bradley County,Tennessee,2012
23.6,Davidson County,Tennessee,2012
9.8,Greene County,Tennessee,2012
17.8,Hamilton County,Tennessee,2012
23.2,Knox County,Tennessee,2012
13.3,Madison County,Tennessee,2012
12.0,Maury County,Tennessee,2012
14.0,Montgomery County,Tennessee,2012
13.7,Putnam County,Tennessee,2012
11.2,Robertson County,Tennessee,2012
21.3,Rutherford County,Tennessee,2012
8.8,Sevier County,Tennessee,2012
18.8,Shelby County,Tennessee,2012
13.8,Sullivan County,Tennessee,2012
14.3,Sumner County,Tennessee,2012
14.9,Washington County,Tennessee,2012
37.3,Williamson County,Tennessee,2012
21.7,Wilson County,Tennessee,2012
8.4,Angelina County,Texas,2012
7.4,Bastrop County,Texas,2012
14.1,Bell County,Texas,2012
16.4,Bexar County,Texas,2012
12.5,Bowie County,Texas,2012
15.5,Brazoria County,Texas,2012
22.5,Brazos County,Texas,2012
11.6,Cameron County,Texas,2012
32.2,Collin County,Texas,2012
20.7,Comal County,Texas,2012
11.1,Coryell County,Texas,2012
18.1,Dallas County,Texas,2012
29.5,Denton County,Texas,2012
8.7,Ector County,Texas,2012
14.4,Ellis County,Texas,2012
14.3,El Paso County,Texas,2012
27.2,Fort Bend County,Texas,2012
17.4,Galveston County,Texas,2012
13.2,Grayson County,Texas,2012
12.0,Gregg County,Texas,2012
17.0,Guadalupe County,Texas,2012
18.0,Harris County,Texas,2012
11.1,Harrison County,Texas,2012
26.7,Hays County,Texas,2012
9.1,Henderson County,Texas,2012
9.9,Hidalgo County,Texas,2012
8.6,Hunt County,Texas,2012
12.9,Jefferson County,Texas,2012
9.0,Johnson County,Texas,2012
9.7,Kaufman County,Texas,2012
6.8,Liberty County,Texas,2012
17.5,Lubbock County,Texas,2012
15.7,McLennan County,Texas,2012
17.3,Midland County,Texas,2012
22.2,Montgomery County,Texas,2012
13.2,Nacogdoches County,Texas,2012
12.0,Nueces County,Texas,2012
6.8,Orange County,Texas,2012
16.8,Parker County,Texas,2012
8.7,Potter County,Texas,2012
18.9,Randall County,Texas,2012
22.8,Rockwall County,Texas,2012
23.3,Rockingham County,New Hampshire,2012
19.7,Strafford County,New Hampshire,2012
16.5,Atlantic County,New Jersey,2012
29.8,Bergen County,New Jersey,2012
22.2,Burlington County,New Jersey,2012
20.6,Camden County,New Jersey,2012
22.6,Cape May County,New Jersey,2012
9.4,Cumberland County,New Jersey,2012
19.4,Essex County,New Jersey,2012
19.9,Gloucester County,New Jersey,2012
23.9,Hudson County,New Jersey,2012
27.7,Hunterdon County,New Jersey,2012
18.9,Mercer County,New Jersey,2012
25.0,Middlesex County,New Jersey,2012
25.8,Monmouth County,New Jersey,2012
29.0,Morris County,New Jersey,2012
18.1,Ocean County,New Jersey,2012
15.9,Passaic County,New Jersey,2012
12.4,Salem County,New Jersey,2012
28.2,Somerset County,New Jersey,2012
22.8,Sussex County,New Jersey,2012
19.6,Union County,New Jersey,2012
20.7,Warren County,New Jersey,2012
17.8,Bernalillo County,New Mexico,2012
13.8,Chaves County,New Mexico,2012
15.8,Do?a Ana County,New Mexico,2012
9.5,Lea County,New Mexico,2012
6.7,McKinley County,New Mexico,2012
7.9,Otero County,New Mexico,2012
16.2,Sandoval County,New Mexico,2012
10.7,San Juan County,New Mexico,2012
19.3,Santa Fe County,New Mexico,2012
9.9,Valencia County,New Mexico,2012
20.5,Albany County,New York,2012
10.9,Bronx County,New York,2012
15.5,Broome County,New York,2012
7.7,Cattaraugus County,New York,2012
11.0,Cayuga County,New York,2012
10.6,Chautauqua County,New York,2012
10.9,Chemung County,New York,2012
12.4,Clinton County,New York,2012
18.1,Dutchess County,New York,2012
18.0,Erie County,New York,2012
9.8,Jefferson County,New York,2012
19.5,Kings County,New York,2012
15.5,Livingston County,New York,2012
11.2,Madison County,New York,2012
21.2,Monroe County,New York,2012
24.5,Nassau County,New York,2012
31.7,New York County,New York,2012
15.7,Niagara County,New York,2012
15.9,Oneida County,New York,2012
19.5,Onondaga County,New York,2012
13.8,Ontario County,New York,2012
15.4,Orange County,New York,2012
10.8,Oswego County,New York,2012
25.0,Putnam County,New York,2012
19.4,Queens County,New York,2012
17.5,Rensselaer County,New York,2012
18.8,Richmond County,New York,2012
21.8,Rockland County,New York,2012
11.3,St. Lawrence County,New York,2012
23.4,Saratoga County,New York,2012
15.3,Schenectady County,New York,2012
10.8,Steuben County,New York,2012
19.5,Suffolk County,New York,2012
10.3,Sullivan County,New York,2012
18.1,Tompkins County,New York,2012
16.6,Ulster County,New York,2012
14.7,Warren County,New York,2012
13.9,Wayne County,New York,2012
22.8,Westchester County,New York,2012
12.6,Alamance County,North Carolina,2012
17.8,Brunswick County,North Carolina,2012
21.1,Buncombe County,North Carolina,2012
8.1,Burke County,North Carolina,2012
17.8,Cabarrus County,North Carolina,2012
5.4,Caldwell County,North Carolina,2012
14.8,Carteret County,North Carolina,2012
13.8,Catawba County,North Carolina,2012
18.4,Chatham County,North Carolina,2012
10.1,Cleveland County,North Carolina,2012
15.1,Craven County,North Carolina,2012
14.6,Cumberland County,North Carolina,2012
12.4,Davidson County,North Carolina,2012
23.0,Durham County,North Carolina,2012
19.8,Forsyth County,North Carolina,2012
13.3,Gaston County,North Carolina,2012
21.6,Guilford County,North Carolina,2012
12.0,Harnett County,North Carolina,2012
16.1,Henderson County,North Carolina,2012
15.2,Iredell County,North Carolina,2012
14.2,Johnston County,North Carolina,2012
13.4,Lincoln County,North Carolina,2012
28.4,Mecklenburg County,North Carolina,2012
17.4,Moore County,North Carolina,2012
14.9,Nash County,North Carolina,2012
21.8,New Hanover County,North Carolina,2012
11.4,Onslow County,North Carolina,2012
24.6,Orange County,North Carolina,2012
15.3,Pitt County,North Carolina,2012
9.6,Randolph County,North Carolina,2012
7.6,Robeson County,North Carolina,2012
8.0,Rockingham County,North Carolina,2012
10.8,Rowan County,North Carolina,2012
10.8,Rutherford County,North Carolina,2012
9.5,Surry County,North Carolina,2012
22.4,Union County,North Carolina,2012
30.1,Wake County,North Carolina,2012
10.8,Wayne County,North Carolina,2012
7.1,Wilkes County,North Carolina,2012
9.6,Wilson County,North Carolina,2012
19.3,Burleigh County,North Dakota,2012
24.3,Cass County,North Dakota,2012
18.2,Grand Forks County,North Dakota,2012
10.2,Allen County,Ohio,2012
9.1,Ashtabula County,Ohio,2012
9.8,Belmont County,Ohio,2012
18.0,Butler County,Ohio,2012
10.3,Clark County,Ohio,2012
17.0,Clermont County,Ohio,2012
10.0,Columbiana County,Ohio,2012
20.1,Baldwin County,Alabama,2012
11.7,Calhoun County,Alabama,2012
6.9,Cullman County,Alabama,2012
5.8,DeKalb County,Alabama,2012
12.5,Elmore County,Alabama,2012
9.8,Etowah County,Alabama,2012
15.7,Houston County,Alabama,2012
18.2,Jefferson County,Alabama,2012
10.9,Lauderdale County,Alabama,2012
19.2,Lee County,Alabama,2012
13.7,Limestone County,Alabama,2012
26.8,Madison County,Alabama,2012
9.5,Marshall County,Alabama,2012
13.0,Mobile County,Alabama,2012
18.0,Montgomery County,Alabama,2012
18.3,Morgan County,Alabama,2012
10.3,St. Clair County,Alabama,2012
27.5,Shelby County,Alabama,2012
5.6,Talladega County,Alabama,2012
18.2,Tuscaloosa County,Alabama,2012
6.4,Walker County,Alabama,2012
17.8,Anchorage Municipality,Alaska,2012
12.8,Fairbanks North Star Borough,Alaska,2012
14.7,Matanuska-Susitna Borough,Alaska,2012
5.5,Apache County,Arizona,2012
13.6,Cochise County,Arizona,2012
14.6,Coconino County,Arizona,2012
19.7,Maricopa County,Arizona,2012
6.2,Mohave County,Arizona,2012
5.9,Navajo County,Arizona,2012
18.1,Pima County,Arizona,2012
12.6,Pinal County,Arizona,2012
18.1,Yavapai County,Arizona,2012
9.7,Yuma County,Arizona,2012
21.5,Benton County,Arkansas,2012
12.2,Craighead County,Arkansas,2012
20.5,Faulkner County,Arkansas,2012
15.2,Garland County,Arkansas,2012
10.2,Jefferson County,Arkansas,2012
13.9,Lonoke County,Arkansas,2012
21.7,Pulaski County,Arkansas,2012
16.3,Saline County,Arkansas,2012
12.2,Sebastian County,Arkansas,2012
14.8,Washington County,Arkansas,2012
8.4,White County,Arkansas,2012
25.4,Alameda County,California,2012
15.0,Butte County,California,2012
24.5,Contra Costa County,California,2012
20.9,El Dorado County,California,2012
11.5,Fresno County,California,2012
18.5,Humboldt County,California,2012
7.8,Imperial County,California,2012
9.6,Kern County,California,2012
8.1,Kings County,California,2012
13.1,Lake County,California,2012
19.7,Los Angeles County,California,2012
9.2,Madera County,California,2012
29.2,Marin County,California,2012
11.9,Mendocino County,California,2012
7.5,Merced County,California,2012
13.5,Monterey County,California,2012
17.5,Napa County,California,2012
24.9,Nevada County,California,2012
24.7,Orange County,California,2012
23.1,Placer County,California,2012
13.2,Riverside County,California,2012
18.5,Sacramento County,California,2012
12.0,San Bernardino County,California,2012
21.5,San Diego County,California,2012
33.9,San Francisco County,California,2012
11.9,San Joaquin County,California,2012
21.5,San Luis Obispo County,California,2012
24.4,San Mateo County,California,2012
16.8,Santa Barbara County,California,2012
25.6,Santa Clara County,California,2012
22.6,Santa Cruz County,California,2012
11.1,Shasta County,California,2012
14.8,Solano County,California,2012
18.9,Sonoma County,California,2012
9.3,Stanislaus County,California,2012
13.4,Sutter County,California,2012
9.0,Tulare County,California,2012
20.7,Ventura County,California,2012
18.7,Yolo County,California,2012
8.8,Yuba County,California,2012
13.4,Adams County,Colorado,2012
26.1,Arapahoe County,Colorado,2012
31.8,Boulder County,Colorado,2012
28.1,Denver County,Colorado,2012
36.9,Douglas County,Colorado,2012
22.1,El Paso County,Colorado,2012
27.9,Jefferson County,Colorado,2012
27.9,Larimer County,Colorado,2012
14.7,Mesa County,Colorado,2012
11.5,Pueblo County,Colorado,2012
16.4,Weld County,Colorado,2012
25.9,Fairfield County,Connecticut,2012
20.9,Hartford County,Connecticut,2012
18.4,Litchfield County,Connecticut,2012
25.0,Middlesex County,Connecticut,2012
17.8,New Haven County,Connecticut,2012
16.6,New London County,Connecticut,2012
19.9,Tolland County,Connecticut,2012
13.3,Windham County,Connecticut,2012
12.3,Kent County,Delaware,2012
21.3,New Castle County,Delaware,2012
12.3,Sussex County,Delaware,2012
23.2,District of Columbia,District of Columbia,2012
20.9,Alachua County,Florida,2012
16.2,Bay County,Florida,2012
18.3,Brevard County,Florida,2012
19.2,Broward County,Florida,2012
16.0,Charlotte County,Florida,2012
11.8,Citrus County,Florida,2012
14.8,Clay County,Florida,2012
20.1,Collier County,Florida,2012
9.1,Columbia County,Florida,2012
18.4,Duval County,Florida,2012
15.6,Escambia County,Florida,2012
19.6,Flagler County,Florida,2012
8.1,Hernando County,Florida,2012
10.8,Highlands County,Florida,2012
19.5,Hillsborough County,Florida,2012
14.3,Indian River County,Florida,2012
14.7,Lake County,Florida,2012
16.0,Lee County,Florida,2012
24.7,Leon County,Florida,2012
16.6,Manatee County,Florida,2012
12.7,Marion County,Florida,2012
21.2,Martin County,Florida,2012
17.6,Miami-Dade County,Florida,2012
16.5,Monroe County,Florida,2012
14.6,Nassau County,Florida,2012
17.5,Okaloosa County,Florida,2012
18.9,Orange County,Florida,2012
14.0,Osceola County,Florida,2012
21.2,Palm Beach County,Florida,2012
15.5,Pasco County,Florida,2012
19.6,Pinellas County,Florida,2012
12.3,Polk County,Florida,2012
8.7,Putnam County,Florida,2012
29.3,St. Johns County,Florida,2012
16.8,St. Lucie County,Florida,2012
18.6,Santa Rosa County,Florida,2012
19.6,Sarasota County,Florida,2012
22.6,Seminole County,Florida,2012
17.4,Sumter County,Florida,2012
14.3,Volusia County,Florida,2012
10.7,Barrow County,Georgia,2012
10.1,Bartow County,Georgia,2012
14.4,Bibb County,Georgia,2012
15.8,Bulloch County,Georgia,2012
9.8,Carroll County,Georgia,2012
10.4,Catoosa County,Georgia,2012
18.8,Chatham County,Georgia,2012
24.1,Cherokee County,Georgia,2012
22.1,Clarke County,Georgia,2012
9.2,Clayton County,Georgia,2012
30.0,Cobb County,Georgia,2012
22.8,Columbia County,Georgia,2012
17.3,Coweta County,Georgia,2012
22.8,DeKalb County,Georgia,2012
13.8,Dougherty County,Georgia,2012
16.4,Douglas County,Georgia,2012
28.2,Fayette County,Georgia,2012
11.6,Floyd County,Georgia,2012
33.2,Forsyth County,Georgia,2012
31.5,Fulton County,Georgia,2012
18.5,Glynn County,Georgia,2012
22.8,Gwinnett County,Georgia,2012
13.4,Hall County,Georgia,2012
15.3,Henry County,Georgia,2012
14.4,Houston County,Georgia,2012
10.3,Liberty County,Georgia,2012
15.6,Lowndes County,Georgia,2012
17.0,Muscogee County,Georgia,2012
10.8,Newton County,Georgia,2012
12.0,Paulding County,Georgia,2012
12.6,Richmond County,Georgia,2012
15.9,Rockdale County,Georgia,2012
14.6,Troup County,Georgia,2012
10.1,Walker County,Georgia,2012
15.1,Walton County,Georgia,2012
8.2,Whitfield County,Georgia,2012
14.9,Hawaii County,Hawaii,2012
19.9,Honolulu County,Hawaii,2012
13.4,Kauai County,Hawaii,2012
13.9,Maui County,Hawaii,2012
23.3,Ada County,Idaho,2012
17.8,Bannock County,Idaho,2012
18.4,Bonneville County,Idaho,2012
15.2,Canyon County,Idaho,2012
16.3,Kootenai County,Idaho,2012
12.7,Twin Falls County,Idaho,2012
14.3,Adams County,Illinois,2012
21.8,Champaign County,Illinois,2012
20.8,Cook County,Illinois,2012
18.0,DeKalb County,Illinois,2012
29.1,DuPage County,Illinois,2012
21.2,Kane County,Illinois,2012
10.1,Kankakee County,Illinois,2012
18.8,Kendall County,Illinois,2012
25.3,Lake County,Illinois,2012
10.8,LaSalle County,Illinois,2012
22.0,McHenry County,Illinois,2012
32.3,McLean County,Illinois,2012
14.7,Macon County,Illinois,2012
17.0,Madison County,Illinois,2012
17.1,Peoria County,Illinois,2012
13.2,Rock Island County,Illinois,2012
16.5,St. Clair County,Illinois,2012
21.8,Sangamon County,Illinois,2012
17.0,Tazewell County,Illinois,2012
8.8,Vermilion County,Illinois,2012
20.6,Will County,Illinois,2012
11.9,Williamson County,Illinois,2012
13.7,Winnebago County,Illinois,2012
17.5,Allen County,Indiana,2012
18.7,Bartholomew County,Indiana,2012
12.4,Clark County,Indiana,2012
8.0,Delaware County,Indiana,2012
12.2,Elkhart County,Indiana,2012
19.5,Floyd County,Indiana,2012
12.1,Grant County,Indiana,2012
34.3,Hamilton County,Indiana,2012
16.8,Hancock County,Indiana,2012
22.4,Hendricks County,Indiana,2012
13.4,Howard County,Indiana,2012
16.8,Johnson County,Indiana,2012
11.4,Kosciusko County,Indiana,2012
13.2,Lake County,Indiana,2012
10.4,LaPorte County,Indiana,2012
12.6,Madison County,Indiana,2012
20.0,Marion County,Indiana,2012
22.2,Monroe County,Indiana,2012
12.0,Morgan County,Indiana,2012
15.4,Porter County,Indiana,2012
16.2,St. Joseph County,Indiana,2012
18.0,Tippecanoe County,Indiana,2012
14.9,Vanderburgh County,Indiana,2012
10.9,Vigo County,Indiana,2012
8.6,Wayne County,Indiana,2012
19.2,Black Hawk County,Iowa,2012
34.5,Dallas County,Iowa,2012
20.2,Dubuque County,Iowa,2012
24.2,Johnson County,Iowa,2012
22.4,Linn County,Iowa,2012
25.6,Polk County,Iowa,2012
13.6,Pottawattamie County,Iowa,2012
19.1,Scott County,Iowa,2012
28.3,Story County,Iowa,2012
11.9,Woodbury County,Iowa,2012
17.5,Butler County,Kansas,2012
26.2,Douglas County,Kansas,2012
33.2,Johnson County,Kansas,2012
13.2,Leavenworth County,Kansas,2012
21.6,Riley County,Kansas,2012
19.3,Sedgwick County,Kansas,2012
18.1,Shawnee County,Kansas,2012
11.1,Wyandotte County,Kansas,2012
20.3,Boone County,Kentucky,2012
7.6,Bullitt County,Kentucky,2012
18.4,Campbell County,Kentucky,2012
13.2,Christian County,Kentucky,2012
12.8,Daviess County,Kentucky,2012
25.4,Fayette County,Kentucky,2012
13.2,Hardin County,Kentucky,2012
19.3,Jefferson County,Kentucky,2012
21.0,Kenton County,Kentucky,2012
10.4,McCracken County,Kentucky,2012
14.1,Madison County,Kentucky,2012
5.9,Pike County,Kentucky,2012
12.5,Warren County,Kentucky,2012
17.1,Ascension Parish,Louisiana,2012
15.3,Bossier Parish,Louisiana,2012
12.6,Caddo Parish,Louisiana,2012
12.3,Calcasieu Parish,Louisiana,2012
22.9,East Baton Rouge Parish,Louisiana,2012
11.9,Iberia Parish,Louisiana,2012
14.3,Jefferson Parish,Louisiana,2012
19.8,Lafayette Parish,Louisiana,2012
9.3,Lafourche Parish,Louisiana,2012
11.0,Livingston Parish,Louisiana,2012
19.4,Orleans Parish,Louisiana,2012
10.6,San Patricio County,Texas,2012
17.5,Smith County,Texas,2012
19.9,Tarrant County,Texas,2012
15.2,Taylor County,Texas,2012
9.3,Tom Green County,Texas,2012
27.9,Travis County,Texas,2012
11.2,Victoria County,Texas,2012
8.3,Walker County,Texas,2012
11.8,Webb County,Texas,2012
13.8,Wichita County,Texas,2012
27.2,Williamson County,Texas,2012
24.4,Cache County,Utah,2012
25.9,Davis County,Utah,2012
20.1,Salt Lake County,Utah,2012
25.8,Utah County,Utah,2012
17.1,Washington County,Utah,2012
14.6,Weber County,Utah,2012
28.8,Chittenden County,Vermont,2012
25.0,Albemarle County,Virginia,2012
31.9,Arlington County,Virginia,2012
12.9,Augusta County,Virginia,2012
13.2,Bedford County,Virginia,2012
23.5,Chesterfield County,Virginia,2012
30.1,Fairfax County,Virginia,2012
19.2,Fauquier County,Virginia,2012
20.5,Frederick County,Virginia,2012
25.4,Hanover County,Virginia,2012
24.4,Henrico County,Virginia,2012
29.5,James City County,Virginia,2012
32.4,Loudoun County,Virginia,2012
22.1,Montgomery County,Virginia,2012
21.2,Prince William County,Virginia,2012
19.8,Roanoke County,Virginia,2012
14.6,Rockingham County,Virginia,2012
18.4,Spotsylvania County,Virginia,2012
22.1,Stafford County,Virginia,2012
25.2,York County,Virginia,2012
32.7,Alexandria city,Virginia,2012
19.7,Chesapeake city,Virginia,2012
12.2,Hampton city,Virginia,2012
15.7,Lynchburg city,Virginia,2012
15.3,Newport News city,Virginia,2012
14.9,Norfolk city,Virginia,2012
10.9,Portsmouth city,Virginia,2012
22.6,Richmond city,Virginia,2012
